timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1769094324.235473,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,4000000,0,0,0,430933,18099186,2201130.00,0.002201130,92447460.00,0.092447460,1
1769094324.240498,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,1000000,0,0,0,960767,40352214,2695880.00,0.002695880,113226960.00,0.113226960,1
1769094324.243563,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,59000000,0,0,0,1231820,51736440,2710530.00,0.002710530,113842260.00,0.113842260,1
1769094324.246599,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,0,0,0,0,1514400,63604800,2825800.00,0.002825800,118683600.00,0.118683600,1
1769094324.249855,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,4000000,0,0,0,1801465,75661530,2870650.00,0.002870650,120567300.00,0.120567300,1
1769094324.253166,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,0,0,0,0,2083506,87507252,2820410.00,0.002820410,118457220.00,0.118457220,1
1769094324.257099,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,4000000,0,0,0,2351481,98762202,2679750.00,0.002679750,112549500.00,0.112549500,1
1769094398.893945,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,5000000,0,0,0,494428,20765976,2833060.00,0.002833060,118988520.00,0.118988520,1
1769094398.897275,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,3000000,0,0,0,1060757,44551794,2843660.00,0.002843660,119433720.00,0.119433720,1
1769094398.899761,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,0,0,0,0,1349603,56683326,2888460.00,0.002888460,121315320.00,0.121315320,1
1769094398.902243,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,3000000,0,0,0,1624903,68245926,2753000.00,0.002753000,115626000.00,0.115626000,1
1769094398.904644,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,0,0,0,0,1898443,79734606,2735400.00,0.002735400,114886800.00,0.114886800,1
1769094398.908041,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,4000000,0,0,0,2172446,91242732,2740030.00,0.002740030,115081260.00,0.115081260,1
1769094398.910694,1,10.0.0.1-0-10.0.0.2-0-17,10.0.0.1,0,10.0.0.2,0,17,0,0,0,1000000,0,0,0,2257577,94818234,851310.00,0.000851310,35755020.00,0.035755020,1
1769095776.66992,5,10.0.0.13-0-10.0.0.14-0-1,10.0.0.13,0,10.0.0.14,0,1,0,8,204,424000000,0,0,0,107877,4530834,107238.55,0.000107239,4504019.10,0.004504019,1
1769095846.902253,5,10.0.0.13-0-10.0.0.14-0-1,10.0.0.13,0,10.0.0.14,0,1,0,8,0,5000000,0,0,0,422939,17763438,2227370.00,0.002227370,93549540.00,0.093549540,1
1769095846.90652,5,10.0.0.13-0-10.0.0.14-0-1,10.0.0.13,0,10.0.0.14,0,1,0,8,0,5000000,0,0,0,870736,36570912,2263380.00,0.002263380,95061960.00,0.095061960,1
1769095846.910792,5,10.0.0.13-0-10.0.0.14-0-1,10.0.0.13,0,10.0.0.14,0,1,0,8,0,0,0,0,0,1098807,46149894,2280710.00,0.002280710,95789820.00,0.095789820,1
1769095846.915221,5,10.0.0.13-0-10.0.0.14-0-1,10.0.0.13,0,10.0.0.14,0,1,0,8,0,5000000,0,0,0,1320718,55470156,2219110.00,0.002219110,93202620.00,0.093202620,1
1769096183.846213,5,10.0.0.13-0-10.0.0.14-0-1,10.0.0.13,0,10.0.0.14,0,1,0,8,0,4000000,0,0,0,422586,17748612,2187620.00,0.002187620,91880040.00,0.091880040,1
1769096183.854606,5,10.0.0.13-0-10.0.0.14-0-1,10.0.0.13,0,10.0.0.14,0,1,0,8,0,5000000,0,0,0,892956,37504152,2352620.00,0.002352620,98810040.00,0.098810040,1
